"Name","House","Gender","Culture","Title","Age","Is Noble?","Dead Relatives?","Is Dead?"
"Wat (Standfast)","House Osgrey","female","","",NA,"no","no",0
"Wat (Wet)","House Osgrey","male","","",NA,"no","no",0
"Wate","House Targaryen","female","","",NA,"no","no",0
"Watt","Night's Watch","male","","",NA,"no","no",1
"Wayn (guard)","House Stark","male","northmen","",NA,"no","no",0
"Weasel","","male","","",9,"no","no",0
"Wendell Webber","House Webber","male","","ser",NA,"yes","no",0
"Wendello Qar Deeth","","female","qartheen","",NA,"no","no",0
"Werlag","House Greyjoy","female","ironborn","",NA,"no","no",0
"Rafford","House Clegane","male","","",NA,"no","no",1
"Jhogo","House Targaryen","female","dothraki","bloodrider",24,"no","no",0
"Sour Alyn","House Bolton","male","","",NA,"no","no",0
"Tobho Mott","","male","qohor","",NA,"no","no",0
"Zollo","Brave Companions","male","dothraki","",NA,"no","no",0
"Tanda Stokeworth","House Stokeworth","female","","stokeworth",NA,"yes","yes",1
"Samwell Tarly","Night's Watch","male","westeros","",22,"no","no",0
"Abelar Hightower","House Hightower","male","","ser",NA,"yes","no",0
"Addam Frey","House Frey","male","","ser",NA,"yes","no",0
"Addam","","male","","ser",NA,"yes","no",0
"Addam Osgrey","House Osgrey","male","","",13,"no","no",1
"Aegon Frey (son of Aenys)","House Frey","male","","",52,"no","no",0
"Aegon Frey (son of Stevron)","House Frey","male","","",50,"no","no",1
"Aegon I Targaryen","","male","","",NA,"no","yes",1
"Aegon II Targaryen","","male","","",NA,"no","yes",1
"Aegon IV Targaryen","","male","","",NA,"no","yes",1
"Aegon Targaryen (son of Baelon)","House Targaryen","male","valyrian","prince",NA,"yes","no",0
"Aegon III Targaryen","","male","valyrian","",NA,"no","yes",1
"Aegon Targaryen (son of Jaehaerys I)","House Targaryen","female","valyrian","prince",100,"yes","no",1
"Aegon Targaryen (son of Aenys I)","House Targaryen","male","valyrian","prince",17,"yes","no",1
"Aegon Targaryen (son of Rhaegar)","House Targaryen","male","valyrian","",2,"no","no",1
"Aemon Costayne","House Costayne","male","","",NA,"no","no",0
"Aenys I Targaryen","","male","","",NA,"no","yes",1
"Aethan","Night's Watch","female","","",NA,"no","no",0
"Aethelmure","","female","","grand maester",NA,"yes","no",0
"Aggar","House Greyjoy","male","","",NA,"no","no",1
"Agrivane","","female","","archmaester",NA,"yes","no",0
"Aerys I Targaryen","","male","","",NA,"no","yes",1
"Alaric of Eysen","","female","","",NA,"no","no",0
"Aerys II Targaryen","","male","","",NA,"no","yes",1
"Alebelly","House Stark","male","northmen","",NA,"no","no",1
"Alequo Adarys","Band of Nine","male","tyroshi","",NA,"no","no",1
"Alester Oakheart","House Oakheart","male","","",NA,"no","no",0
"Alia","","female","","",NA,"no","no",0
"All-for-Joffrey","","male","","",NA,"no","no",1
"Allaquo","","male","braavosi","",NA,"no","no",0
"Allyria Dayne","House Dayne","female","","",NA,"no","no",0
"Alicent Hightower","House Hightower","female","","ladyqueendowager queen",45,"yes","yes",1
"Alyce","","male","","",NA,"no","no",0
"Alvyn Sharp","House Sharp","male","ironborn","",NA,"no","no",0
"Alyn Hunt","House Hunt","male","","ser",NA,"yes","no",0
"Alys Arryn","House Arryn","female","","",NA,"no","yes",0
"Alysanne Bracken","House Bracken","female","","",NA,"no","no",0
"Alyn Velaryon","House Velaryon","male","valyrian","lord of the tides",56,"yes","no",1
"Alysanne Osgrey","House Osgrey","female","","",21,"no","no",1
"Alyssa Arryn","House Arryn","female","","",NA,"no","no",0
"Alysanne Hightower","House Hightower","female","","",NA,"no","no",0
"Amabel","House Whent","female","","",NA,"no","no",0
"Ambrode","","female","ironborn","",NA,"no","no",0
"Andrey Dalt","House Dalt","female","dornish","ser",NA,"yes","no",0
"Andrey Charlton","House Charlton","male","","ser",NA,"yes","no",1
"Argrave the Defiant","House Butterwell","male","","ser",NA,"yes","no",0
"Armen","","male","","",NA,"no","no",0
"Arneld","","male","","ser",NA,"yes","no",0
"Arnell","Night's Watch","male","","ser",NA,"yes","no",0
"Arrec Durrandon","","male","","",NA,"no","no",0
"Arron","Night's Watch","male","","",NA,"no","no",0
"Arryk (guard)","House Tyrell","female","","",NA,"no","no",0
"Arron Qorgyle","House Qorgyle","male","","ser",NA,"yes","no",0
"Arson","","male","free folk","",NA,"no","no",0
"Aubrey Ambrose","House Ambrose","male","","ser",NA,"yes","no",0
"Ayrmidon","","female","valyrian","",NA,"no","no",0
"Baelon Targaryen (son of Viserys I)","House Targaryen","male","valyrian","prince",0,"yes","no",1
"Baelon Targaryen (son of Aerys)","House Targaryen","female","valyrian","lord of dragonstone",NA,"yes","no",0
"Balon Botley","House Botley","male","ironborn","",NA,"no","no",0
"Baelor Targaryen (son of Daeron II)","House Targaryen","male","","prince of dragonstone",39,"yes","yes",1
"Bandy","House Stark","female","northmen","",NA,"no","no",0
"Bannen","Night's Watch","male","","",NA,"no","no",1
"Barre","","male","","septon",NA,"no","no",0
"Barbara Bracken","House Bracken","female","","",NA,"no","no",0
"Barth (brewer)","House Stark","male","","",NA,"no","no",0
"Bass","Night's Watch","female","","",NA,"no","no",0
"Bearded Ben","Night's Watch","male","","",NA,"no","no",0
"Becca","House Arryn","male","","",NA,"no","no",0
"Beck","","male","","goodman",6,"yes","no",0
"Belandra","House Martell","female","","",NA,"no","no",0
"Beldecar","","female","","",NA,"no","no",0
"Belis","Alchemists' Guild","male","","wisdom",NA,"yes","no",0
"Bellonara Otherys","","female","braavosi","",NA,"no","no",0
"Bella","","female","","",22,"no","no",0
"Ben","","male","","",12,"no","no",0
"Ben Blackthumb","House Whent","male","","",NA,"no","no",0
"Ben Bones","House Bolton","male","","",NA,"no","no",0
"Ben Bushy","House Bushy","female","","ser",NA,"yes","no",1
"Benedict","","female","","archmaester",NA,"yes","no",0
"Benjen Stark (Bitter)","","male","northmen","",NA,"no","no",0
"Benjen Stark (Sweet)","","male","northmen","",NA,"no","no",0
"Bennet","","female","","septon",NA,"no","no",0
"Bennis","House Osgrey","male","","ser",NA,"yes","no",0
"Beqqo","","female","braavosi","",NA,"no","no",0
"Bennarion Botley","House Botley","male","ironborn","",NA,"no","no",0
"Beron Blacktyde","House Blacktyde","female","","",NA,"no","no",0
"Bertram Beesbury","House Beesbury","male","","ser",NA,"yes","no",0
"Bessa","","male","","",NA,"no","no",0
"Bessa (Winterfell)","","female","northmen","",NA,"no","no",0
"Bess Bracken","House Bracken","female","","",NA,"no","no",0
"Bethany (Blushing Bethany)","","female","braavosi","",NA,"no","no",0
"Bethany Fair-Fingers","","female","","",NA,"no","no",0
"Bharbo","","female","dothraki","khal",NA,"no","yes",0
"Big Boil","","male","free folk","",NA,"no","no",0
"Blind Doss","","female","free folk","",NA,"no","no",0
"Blane","Night's Watch","male","","",NA,"no","no",0
"Bodger","","female","free folk","",NA,"no","no",0
"Borcas","Night's Watch","male","","",NA,"no","no",0
"Bors","House Martell","male","","",NA,"no","no",0
"Borroq","","male","free folk","",NA,"no","no",0
"Boy","","male","","",21,"no","no",0
"Brandon Stark (Bad)","House Stark","male","northmen","king in the north",NA,"yes","no",0
"Brandon Stark (Burner)","","male","northmen","",NA,"no","no",0
"Brandon Stark (the daughterless)","House Stark","male","northmen","winterfell",NA,"yes","no",0
"Brandon Stark (son of Cregan)","House Stark","male","northmen","winterfell",NA,"yes","no",0
"Brandon Stark (Shipwright)","","male","northmen","",NA,"no","no",0
"Brea","","female","braavosi","",NA,"no","no",0
"Brella","House Baratheon","female","","",NA,"no","no",0
"Brenett","House Frey","male","","maester",NA,"yes","no",0
"Briar","","female","free folk","",NA,"no","no",0
"Brogg","","male","free folk","",NA,"no","no",0
"Brusco","","male","braavosi","",NA,"no","no",0
"Brown Bernarr","Night's Watch","female","","",NA,"no","no",1
"Bryan of Oldtown","","female","reach","",NA,"no","no",0
"Bryen","House Baelish","male","","",85,"no","no",0
"Buford Bulwer","House Bulwer","male","","ser",NA,"yes","no",0
"Bump","","male","free folk","",NA,"no","no",0
"Buu","","female","","",NA,"no","no",0
"Byan Votyris","","male","norvoshi","",NA,"no","no",0
"Byam Flint","Night's Watch","male","","ser",NA,"yes","no",1
"Byren Flowers","","male","","ser",NA,"yes","no",0
"Byron","House Baelish","female","","ser",NA,"yes","no",0
"Cadwyl","House Greyjoy","male","ironborn","",NA,"no","no",0
"Lord Cafferen","House Cafferen","male","","lord",NA,"yes","no",1
"Calon","House Stark","female","northmen","",NA,"no","no",0
"Cadwyn","House Lannister","female","","ser",NA,"yes","no",0
"Canker Jeyne","","female","braavosi","",NA,"no","no",0
"Carellen Smallwood","House Smallwood","female","","",NA,"no","no",0
"Cass","","female","","",NA,"no","no",0
"Carrot","House Royce of the Gates of the Moon","female","","",NA,"no","no",0
"Castos","","female","","archmaester",NA,"yes","no",0
"Cedra","House Martell","female","","",NA,"no","no",0
"Catelyn Bracken","House Bracken","female","","",NA,"no","no",0
"Cedric Payne","House Payne","male","","ser",NA,"yes","no",1
"Cedrik Storm","House Buckler","female","","",NA,"no","no",0
"Cerrick","House Webber","male","ironborn","maester",NA,"yes","no",0
"Cetheres","","female","","archmaester",NA,"yes","no",0
"Catelyn Stark","House Tully","female","rivermen","winterfell",35,"yes","yes",1
"Cheyk","Black Ears","female","","",NA,"no","no",0
"Chiggen","","male","","",NA,"no","no",1
"Clarence Crabb","House Crabb","male","","ser",NA,"yes","no",0
"Clarence Charlton","House Charlton","female","","ser",NA,"yes","no",0
"Clarence Crabb (Short)","House Crabb","male","","ser",NA,"yes","no",0
"Clement","","male","","brother",54,"yes","no",0
"Cleyton Caswell","House Caswell","female","","ser",NA,"yes","no",0
"Clifford Conklyn","House Conklyn","male","","ser",NA,"yes","no",0
"Colen of Greenpools","House Baratheon","male","","ser",NA,"yes","no",0
"Collio Quaynis","","male","tyroshi","",NA,"no","no",0
"Conn","Stone Crows","male","vale mountain clans","",NA,"no","no",1
"Coratt","Stone Crows","male","vale mountain clans","",NA,"no","no",0
"Cosgrove","House Butterwell","female","","steward",NA,"yes","no",0
"Cossomo","","male","braavosi","",NA,"no","no",0
"Courtenay Greenhill","House Greenhill","female","","ser",NA,"yes","no",0
"Cregan Karstark","House Karstark","male","northmen","",56,"no","no",0
"Cutjack","","male","","",NA,"no","no",0
"Dacks","House Redfort","male","","",NA,"no","no",0
"Daella Targaryen (daughter of Jaehaerys I)","House Targaryen","female","valyrian","eyrie",28,"yes","no",1
"Daella Targaryen (daughter of Maekar I)","House Targaryen","male","valyrian","princess",100,"yes","no",1
"Daenerys Targaryen (daughter of Aegon IV)","House Targaryen","female","","princess",100,"yes","yes",1
"Daeron I Targaryen","","male","","",NA,"no","yes",1
"Daena Targaryen","House Targaryen","female","valyrian","princess",100,"yes","yes",1
"Daeryssa","","female","","princess",NA,"yes","no",0
"Daeron Targaryen (son of Viserys I)","House Targaryen","male","","ser",16,"yes","no",1
"Dagon Ironmaker","House Ironmaker","male","ironborn","",NA,"no","no",0
"Daeron Targaryen (son of Maekar I)","House Targaryen","male","","prince of dragonstone",31,"yes","no",1
"Daeron II Targaryen","","male","","",NA,"no","yes",1
"Dake","House Osgrey","male","","",NA,"no","no",0
"Dale Drumm","House Drumm","female","","",NA,"no","no",0
"Dalla (Dragonstone)","House Baratheon of Dragonstone","female","","",NA,"no","no",0
"Damon Lannister (lord)","House Lannister","male","westerman","casterly rock",NA,"yes","no",1
"Dan","","male","free folk","",NA,"no","no",0
"Damon Lannister (son of Jason)","House Lannister","male","","",61,"no","no",0
"Darla Deddings","House Deddings","female","","lady",NA,"yes","no",0
"Danos Slynt","House Slynt","male","","",NA,"no","no",0
"Daughter of the Dusk","","female","braavosi","",NA,"no","no",0
"Del","","female","free folk","",16,"no","no",1
"Denestan","","female","","maester",NA,"yes","no",0
"Denyo Terys","","male","braavosi","",18,"no","no",0
"Dennis Plumm","House Plumm","male","","ser",NA,"yes","no",0
"Denys Drumm","House Drumm","male","ironborn","",NA,"no","no",0
"Denys Redwyne","House Redwyne","male","","",NA,"no","no",0
"Denyse Hightower","House Hightower","female","","",NA,"no","no",0
"Dhazzar","","female","ghiscari","cupbearer",NA,"yes","no",0
"Dick Follard","Night's Watch","male","","",NA,"no","no",1
"Dickon Manwoody","House Manwoody","male","","",NA,"no","no",0
"Dobber","","male","","",NA,"no","no",1
