loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,policy_code,application_type,acc_now_delinq,chargeoff_within_12_mths,delinq_amnt,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit
10000,10000,10000,36 months,16.24%,352.76,C,Administrator,4 years,RENT,58250,Not Verified,0,debt_consolidation,070xx,NJ,16.6,0,Aug-95,1,,,6,0,2734,55%,33,f,0,0,1,INDIVIDUAL,0,0,0,0,0,21411,22987,1700
8300,8300,8300,36 months,12.85%,279.07,B,Teacher,3 years,RENT,40000,Verified,0,credit_card,850xx,AZ,18.48,0,3-Jun,0,46,,7,0,10386,103.90%,19,f,0,0,1,INDIVIDUAL,0,0,0,0,0,40746,27726,10000
10000,10000,10000,36 months,9.67%,321.13,B,Software Developer,6 years,OWN,39000,Not Verified,0,debt_consolidation,326xx,FL,16.37,0,Sep-96,0,,,8,0,15403,59.20%,17,f,0,0,1,INDIVIDUAL,0,0,0,0,0,60073,46601,15200
5850,5850,5850,36 months,15.61%,204.55,C,customer service manager,10+ years,MORTGAGE,40000,Verified,0,debt_consolidation,162xx,PA,17.55,0,Jul-98,1,,87,5,1,3542,98.40%,15,f,0,0,1,INDIVIDUAL,0,0,0,1,0,59368,18866,3600
17000,17000,17000,36 months,14.98%,589.15,C,IT Programmer,6 years,MORTGAGE,79000,Verified,0,debt_consolidation,300xx,GA,3.45,2,May-97,3,14,,10,0,3175,13.90%,24,w,0,0,1,INDIVIDUAL,0,0,0,0,0,350580,8117,20800
12000,12000,12000,36 months,16.24%,423.31,C,security guard,5 years,RENT,37000,Verified,0,debt_consolidation,948xx,CA,33.71,0,Sep-95,0,79,,12,0,15755,50.80%,21,f,0,0,1,INDIVIDUAL,0,0,0,0,0,54282,36136,14000
22250,22250,22250,36 months,14.98%,771.09,C,MD,10+ years,RENT,230000,Verified,0,debt_consolidation,600xx,IL,28.73,0,Oct-97,2,,,18,0,14091,76%,27,f,0,0,1,INDIVIDUAL,0,0,0,0,0,290970,264802,10865
5000,5000,5000,36 months,13.53%,169.75,B,Billing Administrator,10+ years,MORTGAGE,40000,Verified,0,debt_consolidation,606xx,IL,17.04,0,1-Sep,2,64,,12,0,3967,59.20%,19,f,0,0,1,INDIVIDUAL,0,0,0,0,0,176059,46444,4500
10000,10000,10000,36 months,12.85%,336.22,B,Solutions Engineer,1 year,RENT,110000,Not Verified,0,major_purchase,904xx,CA,10.88,1,1-Jul,1,13,,14,0,11796,62.70%,39,f,0,0,1,INDIVIDUAL,0,0,0,0,0,65148,55573,8500
9600,9600,9550,36 months,12.85%,322.77,B,"Medical Admin Officer, First Lieutenant",10+ years,MORTGAGE,77592,Verified,0,credit_card,765xx,TX,30.44,1,3-Jun,0,14,,21,0,10793,35.30%,41,f,0,0,1,INDIVIDUAL,0,0,0,0,0,292326,56369,16500
30500,30500,30500,36 months,10.99%,998.39,B,Software Developer IV,7 years,RENT,95000,Source Verified,0,credit_card,144xx,NY,25.73,0,Mar-96,0,,,16,0,31506,71.90%,48,w,0,0,1,INDIVIDUAL,0,0,0,0,0,216101,194552,43300
16000,16000,15950,36 months,10.99%,523.75,B,Software Project Manager,7 years,RENT,79000,Not Verified,0,credit_card,088xx,NJ,6.84,0,7-May,0,74,,13,0,9101,51.10%,15,f,0,0,1,INDIVIDUAL,0,0,0,0,0,28784,17743,11000
1800,1800,1800,36 months,13.98%,61.51,C,Human Resources,2 years,OWN,47000,Verified,0,debt_consolidation,088xx,NJ,14.67,0,1-Jul,0,41,,11,0,6423,95.90%,27,f,0,0,1,INDIVIDUAL,0,0,0,0,0,96416,95169,4900
10000,10000,10000,36 months,9.67%,321.13,B,assistant manager,9 years,MORTGAGE,32760,Not Verified,0,debt_consolidation,465xx,IN,9.56,0,Oct-97,1,44,113,7,1,5940,34.90%,16,f,0,0,1,INDIVIDUAL,0,0,0,1,0,87174,5940,8300
13000,13000,13000,36 months,11.99%,431.73,B,Fitness Director,< 1 year,RENT,33000,Source Verified,0,debt_consolidation,761xx,TX,9.89,0,8-Mar,0,,,10,0,8927,55.80%,12,f,0,0,1,INDIVIDUAL,0,0,0,0,0,20017,12376,10800
6900,6900,6900,36 months,6.62%,211.86,A,elementary school teacher,7 years,RENT,45000,Source Verified,0,debt_consolidation,954xx,CA,33.09,0,Jun-00,0,,,13,0,7669,22.20%,21,f,0,0,1,INDIVIDUAL,0,0,0,0,0,87774,45986,25600
10000,10000,10000,36 months,7.62%,311.62,A,Employment Specialist,3 years,RENT,30000,Not Verified,0,credit_card,430xx,OH,21.72,0,Sep-85,0,,87,7,1,9325,53%,20,w,0,0,1,INDIVIDUAL,0,0,0,1,0,31034,13803,16700
24000,24000,24000,36 months,8.90%,762.08,A,Vice President,10+ years,MORTGAGE,140000,Source Verified,0,debt_consolidation,606xx,IL,17.07,0,Feb-94,0,35,,21,0,67918,75.30%,31,w,0,0,1,INDIVIDUAL,0,0,0,0,0,1073408,99673,78200
5200,5200,5200,36 months,13.53%,176.54,B,Coach,10+ years,MORTGAGE,55000,Source Verified,0,credit_card,840xx,UT,6.11,0,1-Sep,2,31,40,11,6,6214,41.70%,26,w,0,0,1,INDIVIDUAL,0,0,0,1,0,17900,9150,6400
17875,17875,17825,36 months,16.24%,630.56,C,COOK,10+ years,RENT,43000,Verified,0,debt_consolidation,946xx,CA,25.26,0,Sep-00,0,,,9,0,28091,86.20%,13,f,0,0,1,INDIVIDUAL,0,0,0,0,0,32600,28091,29300
10175,10175,10175,36 months,12.85%,342.11,B,Driver,10+ years,RENT,38400,Verified,0,debt_consolidation,945xx,CA,29.19,0,4-May,0,,,13,0,11354,30.80%,27,f,0,0,1,INDIVIDUAL,0,0,0,0,0,58857,21164,28500
13000,13000,13000,36 months,13.98%,444.19,C,,n/a,RENT,50000,Verified,0,debt_consolidation,785xx,TX,22.88,0,4-Aug,1,,,8,0,8655,80.10%,21,f,0,0,1,INDIVIDUAL,0,0,0,0,0,40250,30510,6800
7200,7200,7200,36 months,8.90%,228.63,A,Pharmacist Manager,9 years,MORTGAGE,145000,Verified,0,debt_consolidation,950xx,CA,31.65,0,Oct-93,1,,,15,0,50104,80.30%,31,f,0,0,1,INDIVIDUAL,0,0,0,0,0,757206,104011,81500
14000,14000,14000,36 months,9.67%,449.58,B,LDR Manager,< 1 year,MORTGAGE,160000,Verified,0,credit_card,940xx,CA,6.75,0,Jun-91,3,,,13,0,38278,57%,23,w,0,0,1,INDIVIDUAL,0,0,0,0,0,67200,38278,50500
12000,12000,12000,36 months,8.90%,381.04,A,Table Games Associate,1 year,RENT,42000,Not Verified,0,debt_consolidation,707xx,LA,18.71,0,5-Oct,0,,,9,0,3427,33.60%,17,w,0,0,1,INDIVIDUAL,0,0,0,0,0,47879,35583,3800
18000,18000,18000,36 months,6.62%,552.67,A,Registered Nurse,3 years,RENT,84000,Not Verified,0,credit_card,967xx,HI,16.13,0,Dec-96,0,,,10,0,20529,30.90%,32,w,0,0,1,INDIVIDUAL,0,0,0,0,0,96400,49366,64200
18000,18000,18000,36 months,6.03%,547.84,A,Property Manager,3 years,RENT,91000,Not Verified,0,debt_consolidation,829xx,WY,18.61,0,3-Apr,1,,,9,0,6423,27.80%,44,f,0,0,1,INDIVIDUAL,0,0,0,0,0,116773,78926,2000
5000,5000,5000,36 months,7.90%,156.46,A,Marketing Coordinator,2 years,RENT,58000,Not Verified,0,debt_consolidation,303xx,GA,20.4,0,6-Jan,0,,,12,0,7174,21.40%,31,f,0,0,1,INDIVIDUAL,0,0,0,0,0,84105,52978,18000
24000,24000,24000,36 months,10.99%,785.62,B,Programmer,3 years,MORTGAGE,65000,Source Verified,0,debt_consolidation,799xx,TX,26.15,2,Jan-81,1,10,,19,0,29596,32.90%,41,w,0,0,1,INDIVIDUAL,0,0,0,0,0,249214,32805,67400
30000,30000,29950,36 months,9.67%,963.38,B,Senior Financial Advisor,5 years,MORTGAGE,80000,Source Verified,0,debt_consolidation,951xx,CA,13.39,0,May-00,0,,,5,0,58636,75.70%,10,f,0,0,1,INDIVIDUAL,0,0,0,0,0,757834,58636,32000
10000,10000,10000,36 months,11.99%,332.1,B,Account Executive,9 years,MORTGAGE,105000,Verified,0,credit_card,117xx,NY,18.4,1,May-99,1,14,,16,0,19053,45.50%,25,f,0,0,1,INDIVIDUAL,0,0,0,0,0,502115,150759,32200
12000,12000,11950,36 months,9.67%,385.35,B,Workers' Comp Claims Adjuster,2 years,RENT,58000,Verified,0,debt_consolidation,914xx,CA,17.92,0,4-Sep,0,,,11,0,10504,47.10%,13,f,0,0,1,INDIVIDUAL,0,0,0,0,0,48008,31667,16800
15000,15000,15000,36 months,14.47%,516.1,C,Electrician,6 years,RENT,75000,Not Verified,0,debt_consolidation,908xx,CA,5.96,0,4-Nov,1,24,,8,0,13879,48.70%,17,f,0,0,1,INDIVIDUAL,0,0,0,0,0,29307,14260,23200
6900,6900,6900,36 months,8.90%,219.1,A,Director,6 years,MORTGAGE,165000,Source Verified,0,credit_card,631xx,MO,11.66,0,Sep-99,1,39,,10,0,10433,88.40%,13,f,0,0,1,INDIVIDUAL,0,0,0,0,0,303123,82290,11800
3000,3000,3000,36 months,13.98%,102.51,C,Program Director,< 1 year,RENT,50000,Not Verified,0,moving,112xx,NY,24.05,0,Sep-97,0,,,12,0,9837,45.80%,17,w,0,0,1,INDIVIDUAL,0,0,0,0,0,112698,105711,18500
15000,15000,15000,36 months,7.62%,467.43,A,Director of installations,3 years,RENT,87000,Verified,0,credit_card,336xx,FL,20.55,0,Dec-00,0,,,8,0,22155,66.10%,28,w,0,0,1,INDIVIDUAL,0,0,0,0,0,341145,29889,13400
10000,10000,10000,36 months,19.97%,371.49,D,project manager southwest,6 years,MORTGAGE,83200,Verified,0,major_purchase,880xx,NM,1.64,0,Dec-95,2,,,4,0,3400,39.10%,6,f,0,0,1,INDIVIDUAL,0,0,0,0,0,8700,3400,3200
12000,12000,12000,36 months,7.62%,373.94,A,Senior Systems Programmer,< 1 year,RENT,93300,Not Verified,0,debt_consolidation,402xx,KY,22.19,0,4-Jan,2,,,12,0,10422,33.50%,49,f,0,0,1,INDIVIDUAL,0,0,0,0,0,296083,87551,13800
25450,25450,25450,36 months,13.53%,864.03,B,Officer,10+ years,RENT,108000,Source Verified,0,debt_consolidation,983xx,WA,29.72,1,Nov-94,1,19,,10,0,32026,72.10%,43,f,0,0,1,INDIVIDUAL,0,0,0,0,0,135189,104035,22500
6000,6000,6000,36 months,9.67%,192.68,B,manager,10+ years,RENT,32500,Not Verified,0,debt_consolidation,088xx,NJ,12.44,0,Apr-96,0,,,10,0,10534,66.30%,21,f,0,0,1,INDIVIDUAL,0,0,0,0,0,15900,10534,14200
13000,13000,13000,36 months,8.90%,412.8,A,General Manager,3 years,MORTGAGE,52000,Not Verified,0,credit_card,560xx,MN,15.28,0,3-May,1,,,16,0,12974,28.50%,31,w,0,0,1,INDIVIDUAL,0,0,0,0,0,165837,21884,26200
15000,15000,15000,36 months,10.99%,491.01,B,IT Director,10+ years,RENT,110000,Not Verified,0,debt_consolidation,601xx,IL,22.92,0,Aug-98,3,,,26,0,16348,79.70%,52,f,0,0,1,INDIVIDUAL,0,0,0,0,0,127881,124509,7100
10400,10400,10400,36 months,16.24%,366.87,C,X-ray tech,5 years,MORTGAGE,120000,Not Verified,0,credit_card,479xx,IN,13.51,0,1-Jan,0,,,13,0,15138,83.60%,24,f,0,0,1,INDIVIDUAL,0,0,0,0,0,307697,38551,10800
24000,24000,23900,36 months,10.99%,785.62,B,Director of Information Technology,< 1 year,MORTGAGE,125000,Verified,0,debt_consolidation,673xx,KS,22.15,0,Mar-91,2,,,20,0,52340,72.90%,43,f,0,0,1,INDIVIDUAL,0,0,0,0,0,251417,88941,38500
15000,15000,15000,36 months,9.67%,481.69,B,Service Tech,1 year,OWN,89000,Verified,0,credit_card,184xx,PA,34.4,1,Feb-92,1,23,,28,0,18664,48.50%,62,w,0,0,1,INDIVIDUAL,0,0,0,0,0,155724,94732,16000
15000,15000,15000,36 months,12.85%,504.33,B,Pharmacy Tech,7 years,OWN,35000,Not Verified,1,credit_card,631xx,MO,21.19,0,7-Feb,0,,,8,0,13991,83.30%,26,f,0,0,1,INDIVIDUAL,0,0,0,0,0,28400,25329,9000
19000,19000,18850,36 months,9.67%,610.14,B,Research Associate,< 1 year,RENT,50000,Not Verified,0,debt_consolidation,462xx,IN,14.57,0,4-Aug,1,,,10,0,17985,60.40%,17,w,0,0,1,INDIVIDUAL,0,0,0,0,0,46925,35211,27500
20000,20000,20000,36 months,14.47%,688.13,C,Administrator,2 years,MORTGAGE,99500,Source Verified,0,debt_consolidation,124xx,NY,20.69,5,Mar-89,5,1,,14,0,13353,62.40%,32,f,0,0,1,INDIVIDUAL,0,0,0,0,0,196667,37556,14600
7000,7000,7000,36 months,16.24%,246.93,C,TECHNICIAN,1 year,RENT,36000,Verified,0,other,913xx,CA,21.7,1,8-Oct,1,9,,18,0,4422,20.60%,26,f,0,0,1,INDIVIDUAL,0,0,0,0,0,64900,42430,13400
7000,7000,7000,36 months,11.99%,232.47,B,consultant nurse,2 years,MORTGAGE,85000,Not Verified,0,credit_card,275xx,NC,12.96,3,Feb-97,2,,27,12,1,8004,65%,36,w,0,0,1,INDIVIDUAL,0,0,0,1,0,42834,26506,6800
7500,7500,7300,36 months,11.99%,249.08,B,Property Manager,2 years,MORTGAGE,58000,Not Verified,0,credit_card,232xx,VA,21,1,6-May,2,21,,9,0,7607,54%,24,f,0,0,1,INDIVIDUAL,0,0,0,0,0,191852,46329,13100
14000,14000,13800,36 months,9.67%,449.58,B,Consultant,6 years,MORTGAGE,110000,Verified,0,credit_card,605xx,IL,8.11,0,Mar-92,0,45,59,15,1,4313,8.70%,24,f,0,0,1,INDIVIDUAL,0,0,0,0,1,195679,23689,42400
21000,21000,20825,36 months,8.90%,666.82,A,Branch Manager,6 years,MORTGAGE,92000,Source Verified,0,debt_consolidation,334xx,FL,18.22,3,May-95,0,16,,13,0,24184,48.90%,34,f,0,0,1,INDIVIDUAL,0,0,0,0,0,325313,144390,36400
2400,2400,2400,36 months,21.48%,91.02,E,NCOIC,10+ years,MORTGAGE,83400,Not Verified,0,other,310xx,GA,23.33,0,2-Jul,1,,,11,0,34784,83.80%,26,f,0,0,1,INDIVIDUAL,0,0,0,0,0,207923,78338,31000
11100,11100,11100,36 months,16.99%,395.7,D,Product Technician,1 year,RENT,35000,Not Verified,0,debt_consolidation,953xx,CA,19.58,0,Jun-00,1,66,,8,0,5220,35.50%,17,f,0,0,1,INDIVIDUAL,0,0,0,0,0,26617,11864,6300
16000,16000,16000,36 months,16.99%,570.37,D,Rural Carrier,10+ years,MORTGAGE,100000,Source Verified,1,debt_consolidation,754xx,TX,7.55,0,Dec-92,0,50,,7,0,10708,78%,15,f,0,0,1,INDIVIDUAL,0,0,0,0,0,31378,19118,9250
25000,25000,25000,36 months,13.53%,848.75,B,IT MANAGER,7 years,MORTGAGE,65000,Source Verified,0,debt_consolidation,906xx,CA,11.21,0,7-Feb,0,,,10,0,13226,52.50%,12,w,0,0,1,INDIVIDUAL,0,0,0,0,0,313404,17577,19000
12000,12000,12000,36 months,11.99%,398.52,B,Senior Technical Architect,1 year,OWN,135000,Verified,0,credit_card,430xx,OH,26.52,0,Jun-83,0,,,13,0,43817,59.90%,33,f,0,0,1,INDIVIDUAL,0,0,0,0,0,112100,79792,64400
16000,16000,16000,36 months,7.90%,500.65,A,Corporate Manager,8 years,RENT,95000,Not Verified,1,debt_consolidation,926xx,CA,18.84,0,Apr-99,1,26,,16,0,14448,14.30%,37,w,0,0,1,INDIVIDUAL,0,0,0,0,0,134371,41668,89800
14200,14200,14200,36 months,15.61%,496.51,C,Communication Technician,1 year,RENT,70000,Source Verified,0,debt_consolidation,208xx,MD,18.79,0,4-Aug,0,,,5,0,13534,96.70%,20,f,0,0,1,INDIVIDUAL,0,0,0,0,0,46565,36806,14000
10000,10000,10000,36 months,17.57%,359.38,D,Registered nurse,10+ years,MORTGAGE,102000,Source Verified,1,major_purchase,907xx,CA,13.49,5,Dec-86,3,4,29,12,1,2680,47.50%,33,w,0,0,1,INDIVIDUAL,0,0,0,0,0,566011,41539,1900
5000,5000,5000,36 months,9.67%,160.57,B,Cafeter퀌_a worker,10+ years,RENT,32600,Not Verified,0,debt_consolidation,913xx,CA,7.92,1,Mar-96,0,11,,4,0,2661,45.10%,18,w,0,0,1,INDIVIDUAL,0,0,0,0,0,5900,2661,2000
25600,25600,25400,36 months,8.90%,812.89,A,CT Technologist,7 years,RENT,70000,Source Verified,0,credit_card,376xx,TN,11.17,0,Sep-92,1,,,13,0,18815,43.60%,32,f,0,0,1,INDIVIDUAL,0,0,0,0,0,54700,27370,25300
9800,9800,9750,36 months,10.99%,320.8,B,SAP Implentation Team (Supply Chain),7 years,MORTGAGE,39000,Not Verified,0,debt_consolidation,489xx,MI,24.77,0,Dec-00,0,29,,13,0,6035,71.80%,29,f,0,0,1,INDIVIDUAL,0,0,0,0,0,102176,47277,6200
19425,19425,19425,36 months,14.98%,673.19,C,machine operator,5 years,RENT,45000,Not Verified,0,credit_card,980xx,WA,6.19,0,5-Nov,0,,,7,0,10901,66.90%,12,w,0,0,1,INDIVIDUAL,0,0,0,0,0,16300,10901,12600
20000,20000,20000,36 months,7.90%,625.81,A,Regional Manager,7 years,MORTGAGE,120000,Source Verified,0,credit_card,940xx,CA,10.69,1,Nov-98,1,20,,14,0,7531,27.60%,30,w,0,0,1,INDIVIDUAL,0,0,0,0,0,589800,49197,17200
5000,5000,5000,36 months,12.85%,168.11,B,vp - internal auditor,10+ years,MORTGAGE,46000,Verified,0,debt_consolidation,658xx,MO,28.25,0,Oct-99,2,,,15,0,19215,46.30%,63,w,0,0,1,INDIVIDUAL,0,0,0,0,0,181916,40452,31800
7000,7000,7000,36 months,13.53%,237.65,B,Banker,3 years,RENT,38000,Not Verified,0,debt_consolidation,993xx,WA,22.27,0,8-May,0,45,,9,0,8937,55.50%,21,f,0,0,1,INDIVIDUAL,0,0,0,0,0,39630,31463,8200
7000,7000,6925,36 months,10.99%,229.14,B,Sales Rep,1 year,RENT,60000,Source Verified,0,credit_card,926xx,CA,15.98,0,Nov-98,1,74,66,10,4,7891,73.10%,17,f,0,0,1,INDIVIDUAL,0,0,0,0,4,30161,24025,8900
20000,20000,19925,36 months,11.99%,664.2,B,Auditor,1 year,RENT,59000,Source Verified,0,credit_card,211xx,MD,17.94,0,6-Oct,1,,,12,0,8763,83.50%,30,f,0,0,1,INDIVIDUAL,0,0,0,0,0,130893,125039,5500
8000,8000,8000,36 months,13.53%,271.6,B,pastor,8 years,OWN,38000,Not Verified,0,credit_card,423xx,KY,29.91,2,1-Dec,1,18,,12,0,5418,49.30%,32,f,0,0,1,INDIVIDUAL,0,0,0,0,0,54102,43167,7700
7200,7200,7200,36 months,10.99%,235.69,B,,n/a,MORTGAGE,22764,Verified,0,debt_consolidation,385xx,TN,21.67,0,3-Nov,2,,,6,0,5981,68%,19,w,0,0,1,INDIVIDUAL,0,0,0,0,0,42865,19183,6500
9325,9325,9325,36 months,16.99%,332.42,D,Office Assistant II,< 1 year,RENT,32000,Not Verified,1,credit_card,939xx,CA,14.29,0,5-Dec,2,53,,14,0,5868,73.30%,25,w,0,0,1,INDIVIDUAL,0,0,0,0,0,30148,28642,6500
33000,33000,33000,36 months,14.47%,1135.41,C,"St. Director, Regional Operations",< 1 year,MORTGAGE,120000,Verified,0,debt_consolidation,463xx,IN,28.62,0,Oct-91,1,,,33,0,57807,39.10%,63,w,0,0,1,INDIVIDUAL,0,0,0,0,0,476221,133811,140000
4000,4000,4000,36 months,6.62%,122.82,A,Administrative Assistant,< 1 year,RENT,41000,Not Verified,0,credit_card,931xx,CA,6.46,0,1-Feb,0,,,7,0,4053,16.10%,22,w,0,0,1,INDIVIDUAL,0,0,0,0,0,35793,8440,25200
6000,6000,6000,36 months,19.97%,222.89,D,doorman,10+ years,RENT,32000,Not Verified,0,credit_card,606xx,IL,5.85,0,3-Dec,0,50,,4,0,5356,71.40%,9,f,0,0,1,INDIVIDUAL,0,0,0,0,0,7500,5356,4500
6000,6000,6000,36 months,23.40%,233.52,E,,10+ years,MORTGAGE,50000,Source Verified,0,home_improvement,300xx,GA,24.49,0,Mar-86,1,27,,13,0,19557,70.90%,31,w,0,0,1,INDIVIDUAL,0,0,0,0,0,66849,57694,13100
5250,5250,5250,36 months,9.67%,168.6,B,"Manager, Individual Giving",2 years,RENT,50000,Verified,0,credit_card,331xx,FL,6.52,0,6-Nov,0,,,9,0,4447,96.70%,16,w,0,0,1,INDIVIDUAL,0,0,0,0,0,26953,20485,4600
35000,35000,34975,36 months,22.40%,1343.92,E,,n/a,MORTGAGE,142416.24,Verified,0,debt_consolidation,481xx,MI,18.99,1,Oct-84,1,19,,10,0,26152,91.80%,28,f,0,0,1,INDIVIDUAL,0,0,0,0,0,499419,59673,26500
8000,8000,8000,36 months,16.24%,282.21,C,ENGINEER,10+ years,RENT,117819,Source Verified,0,vacation,928xx,CA,12.49,0,Mar-00,0,,,8,0,26533,91.50%,30,f,0,0,1,INDIVIDUAL,0,0,0,0,0,32112,29282,27800
9300,9300,9200,36 months,13.98%,317.77,C,Customer Service,1 year,RENT,32000,Not Verified,1,debt_consolidation,275xx,NC,22.36,0,Jun-00,1,35,,15,0,8912,39.30%,19,f,0,0,1,INDIVIDUAL,0,0,0,0,0,44083,23442,3900
7500,7500,7450,36 months,9.67%,240.85,B,Associate,< 1 year,RENT,66000,Not Verified,0,credit_card,967xx,HI,18.38,0,2-Sep,0,25,,17,0,6912,81.30%,42,f,0,0,1,INDIVIDUAL,0,0,0,0,0,276553,309209,3400
8000,8000,8000,36 months,18.25%,290.23,D,Frozen Superviser,9 years,RENT,23000,Verified,1,credit_card,432xx,OH,33.35,0,6-Feb,0,,,4,0,14783,97.30%,5,f,0,0,1,INDIVIDUAL,0,0,0,0,0,31757,29442,14800
5000,5000,5000,36 months,22.90%,193.29,E,Senior Accountant,10+ years,OWN,90000,Verified,0,small_business,085xx,NJ,9.81,0,3-Dec,1,,,7,0,28878,68.80%,14,f,0,0,1,INDIVIDUAL,0,0,0,0,0,72745,59623,34000
8875,8875,8775,36 months,10.99%,290.52,B,Route Driver,2 years,RENT,28000,Not Verified,0,debt_consolidation,360xx,AL,15.43,0,6-Sep,0,,,8,0,2943,81.70%,10,f,0,0,1,INDIVIDUAL,0,0,0,0,0,18341,8893,3600
10000,10000,10000,36 months,10.99%,327.34,B,Chemist staff,10+ years,MORTGAGE,109000,Verified,0,debt_consolidation,760xx,TX,11.18,0,Feb-84,0,33,,8,0,7668,90.20%,31,w,0,0,1,INDIVIDUAL,0,0,0,0,0,115803,19506,6000
5000,5000,5000,36 months,13.53%,169.75,B,,n/a,MORTGAGE,70000,Verified,0,debt_consolidation,068xx,CT,8.3,0,May-00,0,25,,11,0,17523,64.40%,29,w,0,0,1,INDIVIDUAL,0,0,0,0,0,334543,17523,12500
20000,20000,19925,36 months,7.62%,623.23,A,Hardware/Tools Associate,1 year,OWN,65000,Source Verified,0,debt_consolidation,852xx,AZ,9.03,0,Apr-89,0,,98,10,1,19659,56.80%,25,f,0,0,1,INDIVIDUAL,0,0,0,1,0,204686,19659,27100
5000,5000,5000,36 months,14.47%,172.04,C,,n/a,MORTGAGE,45000,Verified,0,home_improvement,925xx,CA,17.95,0,Dec-86,0,,37,8,2,8701,31.80%,37,w,0,0,1,INDIVIDUAL,0,0,0,2,0,43038,14715,12400
